Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-May-2018,3520,3532.5,3484.6,3517.75,3510.47555153005,77285,4455,271307103,27662,35.79,47.9,-2.25
29-May-2018,3512,3549.5,3491.1,3522.7,3518.33750643948,102881,5450,361970081,31461,30.58,58.4,10.7
28-May-2018,3601.1,3618,3488,3503.8,3523.00406596747,131580,8147,463556875,30550,23.22,130,-97.3
25-May-2018,3619,3674,3572.8,3589.45,3631.44514336388,84575,5461,307129473,23375,27.64,101.2,-29.55
24-May-2018,3500,3615,3500,3604.8,3577.39067519102,96195,6374,344127096,24716,25.69,115,104.8
23-May-2018,3528,3544.95,3482.8,3497.05,3512.3553046508,45347,2842,159274776,12439,27.43,62.15,-30.95
22-May-2018,3558,3575,3495,3508.05,3522.04856657136,51764,3502,182315322,13954,26.96,80,-49.95
21-May-2018,3520,3591.85,3510,3557.95,3569.89250175603,68336,4304,243952174,17777,26.01,81.85,37.95
18-May-2018,3489.85,3518,3462.5,3502.35,3488.09384703853,26085,1789,90986928,5939,22.77,55.5,12.5
17-May-2018,3515.85,3529.8,3475,3492.7,3508.65122366726,48134,3135,168885418,14492,30.11,54.8,-23.15
16-May-2018,3480,3509.95,3475,3495.55,3495.71991622893,29127,2294,101819834,6963,23.91,34.95,15.55
15-May-2018,3454,3494.5,3436.9,3482.45,3476.61115884166,39574,2911,137583410,8124,20.53,57.6,28.45
14-May-2018,3464,3479.85,3416,3436.75,3436.37393340753,301896,2716,1037427545,7731,2.56,63.85,-27.25
11-May-2018,3455,3487.5,3446.4,3460.6,3461.76643539581,35168,2117,121743402,7611,21.64,41.1,5.6
10-May-2018,3491,3509.45,3446,3452.75,3474.96693680141,61821,3571,214825931,13998,22.64,63.45,-38.25
9-May-2018,3449,3494.45,3443,3489.05,3479.36844536381,49793,3758,173248193,14775,29.67,51.45,40.05
8-May-2018,3432,3487.95,3398.85,3441.05,3452.77935862246,101282,4820,349704399,18283,18.05,89.1,9.05
7-May-2018,3482.25,3490,3420.1,3427.7,3442.21163003374,63422,3868,218311946,14047,22.15,69.9,-54.55
4-May-2018,3482,3504,3471.3,3480.85,3486.05264277811,46996,2419,163830530,11632,24.75,32.7,-1.15
3-May-2018,3502,3527.85,3475,3482.65,3500.54324205069,72522,4342,253866397,14960,20.63,52.85,-19.35
2-May-2018,3533,3560,3475.6,3497.8,3499.05789749599,64856,3303,226934899,13017,20.07,84.4,-35.2
30-April-2018,3455,3547,3438.2,3531.4,3523.08203002392,92393,8571,325508118,23578,25.52,108.8,76.4
27-April-2018,3540,3543.15,3449.3,3454.8,3475.70493039011,107456,6981,373485349,28156,26.2,93.85,-85.2
26-April-2018,3471,3560,3469,3540.35,3519.38704486152,150998,9408,531420405,21971,14.55,91,69.35
25-April-2018,3385,3481.5,3366,3467.9,3447.59859507149,221933,10387,765135899,28076,12.65,115.5,82.9
24-April-2018,3412.95,3443.5,3345.9,3385.65,3387.18824426075,195496,10185,662181753,33844,17.31,97.6,-27.3
23-April-2018,3429,3557,3400,3415.2,3480.58262886109,505816,24829,1760534383,63415,12.54,157,-13.8
20-April-2018,3250.2,3421.25,3245,3406.4,3337.05422207253,771955,30055,2576055692,221977,28.76,176.25,156.2
19-April-2018,3175,3215,3166.3,3190.65,3192.57007798417,102072,6361,325872013,27791,27.23,48.7,15.65
18-April-2018,3172.95,3189.8,3147.3,3159.5,3164.42897223017,52395,3866,165800256,12749,24.33,42.5,-13.45
17-April-2018,3190,3190,3149.3,3165.9,3166.63544003451,46360,2924,146805219,9446,20.38,40.7,-24.1
16-April-2018,3132,3199,3108.05,3184.8,3172.15060706074,117863,7252,373879187,16358,13.88,90.95,52.8
13-April-2018,3149,3238,3131.1,3151,3185.64708037425,141936,8194,452158004,24858,17.51,106.9,2
12-April-2018,3015.5,3150,3010.15,3137.3,3093.15562691546,921775,7737,2851193528,824729,89.47,139.85,121.8
11-April-2018,2950,3026.9,2947.2,3015.5,2994.06493970039,92455,4638,276816274,54313,58.75,79.7,65.5
10-April-2018,2939,2955.85,2925.1,2931.85,2940.47800860315,29989,1648,88181995,7709,25.71,30.75,-7.15
9-April-2018,2950,2963,2915,2921.15,2936.06750764197,23227,2348,68196040,9641,41.51,48,-28.85
6-April-2018,2941,2961.35,2927,2949.7,2945.28886688358,21207,1200,62460741,8279,39.04,34.35,8.7
5-April-2018,2915.55,2962,2915.55,2957.15,2951.33266249827,65093,2621,192111097,33069,50.8,46.45,41.6
4-April-2018,2923,2933.3,2891.95,2907.05,2915.68445117899,37617,1739,109679302,9510,25.28,41.35,-15.95
3-April-2018,2900,2927.15,2893,2908.1,2909.00819265868,34299,1813,99776072,14227,41.48,34.15,8.1
2-April-2018,2845,2910,2845,2902.9,2885.69442582883,50734,2797,146402821,13822,27.24,65,57.9
28-March-2018,2839,2874,2827.55,2849.3,2856.3584947049,82057,4430,234384209,37355,45.52,46.45,10.3
27-March-2018,2820.1,2869,2820.1,2841.85,2843.98695824002,37955,2559,107943525,13619,35.88,48.9,21.75
26-March-2018,2816.7,2822.9,2782.3,2813.05,2813.37849912269,148180,3727,416886426,106481,71.86,40.6,-3.65
23-March-2018,2806.7,2831,2800,2816.45,2815.94645327827,96850,4126,272724414,55819,57.63,31,9.75
22-March-2018,2856,2870,2825,2829.95,2844.49530173743,48635,1843,138342029,12465,25.63,45,-26.05
21-March-2018,2860.25,2882,2845,2854.6,2857.41974900263,99762,3253,285061909,50828,50.95,37,-5.65
20-March-2018,2827.45,2870,2820.7,2859.15,2851.67782660509,53704,2578,153146506,23140,43.09,49.3,31.7
19-March-2018,2840.7,2845,2820.05,2828.85,2829.1742571408,111192,3896,314581544,58170,52.31,24.95,-11.85
16-March-2018,2868.75,2870,2805,2825.5,2833.71287226901,131088,8845,371465753,37973,28.97,65,-43.25
15-March-2018,2891.15,2902.4,2857.65,2869.15,2882.83519743509,162813,3957,469363047,117836,72.38,44.75,-22
14-March-2018,2896,2925,2875.05,2886.1,2897.83017213429,135708,5956,393258737,42291,31.16,49.95,-9.9
13-March-2018,2928,2929,2884.1,2892.45,2901.88295155554,2197919,37530,6378103675,236501,10.76,44.9,-35.55
12-March-2018,3035,3080,3035,3051.85,3058.97679161685,71095,3179,217477955,23288,32.76,45,16.85
9-March-2018,3014,3059.95,2978.55,3034.5,3023.78802351911,105106,3286,317818264,15329,14.58,81.4,20.5
8-March-2018,3060,3060,2983.9,3001.5,3029.10399591966,56858,6649,172228795,25197,44.32,76.1,-58.5
7-March-2018,3055,3089.75,3024.25,3029.25,3039.35391296838,81051,2458,246342674,13168,16.25,65.5,-25.75
6-March-2018,3133,3133,3030.65,3049.8,3082.89681396905,49309,3159,152014559,12659,25.67,102.35,-83.2
5-March-2018,3069,3112.45,3036.05,3104.3,3073.10168298516,110815,4818,340545763,43259,39.04,76.4,35.3
1-March-2018,3041,3060,3021.95,3037.1,3040.39034653465,28280,1901,85982239,7201,25.46,38.05,-3.9
28-February-2018,3040,3062.35,3023.35,3038.25,3042.90573596598,101343,1667,308377196,77336,76.31,39,-1.75
27-February-2018,3049.95,3077.8,3035,3043.25,3054.54484938561,47771,1835,145918662,17174,35.95,42.8,-6.7
